Currency,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin-cash,"Oct 25, 2019",214.21,265.03,213.81,259.17,3309084358.00,4685079701.00
cardano,"Dec 04, 2019",0.04,0.04,0.04,0.04,51692274.00,969802335.00
cardano,"Dec 03, 2019",0.04,0.04,0.04,0.04,34356883.00,983080974.00
cardano,"Dec 02, 2019",0.04,0.04,0.04,0.04,43069274.00,986684920.00
cardano,"Dec 01, 2019",0.04,0.04,0.04,0.04,59641355.00,1026365437.00
cardano,"Nov 30, 2019",0.04,0.04,0.04,0.04,64184926.00,1048107282.00
cardano,"Nov 29, 2019",0.04,0.04,0.04,0.04,99506198.00,1073986624.00
cardano,"Nov 28, 2019",0.04,0.04,0.04,0.04,60743403.00,1016079672.00
cardano,"Nov 27, 2019",0.04,0.04,0.04,0.04,76841561.00,1012420887.00
cardano,"Nov 26, 2019",0.04,0.04,0.04,0.04,57431470.00,959117573.00
cardano,"Nov 25, 2019",0.04,0.04,0.03,0.04,96694224.00,934626616.00
cardano,"Nov 24, 2019",0.04,0.04,0.04,0.04,62998664.00,922680695.00
cardano,"Nov 23, 2019",0.04,0.04,0.04,0.04,58979321.00,994122170.00
cardano,"Nov 22, 2019",0.04,0.04,0.03,0.04,93310136.00,963130806.00
cardano,"Nov 21, 2019",0.04,0.04,0.04,0.04,67101708.00,995755250.00
cardano,"Nov 20, 2019",0.04,0.04,0.04,0.04,69854304.00,1067634701.00
cardano,"Nov 19, 2019",0.04,0.04,0.04,0.04,91311583.00,1102995485.00
cardano,"Nov 18, 2019",0.05,0.05,0.04,0.04,106595679.00,1135647864.00
cardano,"Nov 17, 2019",0.04,0.05,0.04,0.05,74834540.00,1177627885.00
cardano,"Nov 16, 2019",0.04,0.04,0.04,0.04,61781146.00,1145239519.00
cardano,"Nov 15, 2019",0.04,0.04,0.04,0.04,81592975.00,1140128777.00
cardano,"Nov 14, 2019",0.04,0.04,0.04,0.04,53295194.00,1117958882.00
cardano,"Nov 13, 2019",0.04,0.04,0.04,0.04,42332678.00,1127632602.00
cardano,"Nov 12, 2019",0.04,0.04,0.04,0.04,79520150.00,1134751210.00
cardano,"Nov 11, 2019",0.04,0.04,0.04,0.04,57846910.00,1119896696.00
cardano,"Nov 10, 2019",0.04,0.04,0.04,0.04,71691725.00,1139696016.00
cardano,"Nov 09, 2019",0.04,0.04,0.04,0.04,41365742.00,1100480940.00
cardano,"Nov 08, 2019",0.04,0.04,0.04,0.04,70275428.00,1096640030.00
cardano,"Nov 07, 2019",0.04,0.05,0.04,0.04,63525683.00,1131378703.00
cardano,"Nov 06, 2019",0.04,0.05,0.04,0.04,71743244.00,1165576446.00
cardano,"Nov 05, 2019",0.04,0.04,0.04,0.04,82868890.00,1149307855.00
cardano,"Nov 04, 2019",0.04,0.04,0.04,0.04,62120503.00,1120989389.00
cardano,"Nov 03, 2019",0.04,0.04,0.04,0.04,38559537.00,1087128848.00
cardano,"Nov 02, 2019",0.04,0.04,0.04,0.04,47127524.00,1104469763.00
cardano,"Nov 01, 2019",0.04,0.04,0.04,0.04,60880837.00,1097888791.00
